id,title,description,category,price
1,Apple iPhone 15,Latest iPhone with A17 Bionic chip and AI camera,Electronics,1199
2,Fitbit Charge 7,Advanced fitness tracker with heart rate & sleep monitoring,Wearables,149
3,Dell XPS 13,Ultra-thin laptop with Intel i7 and 12-hour battery life,Electronics,1299
4,Sony WH-1000XM5,Industry-leading noise-cancelling Bluetooth headphones,Audio,399
5,North Face Recon Backpack,Durable backpack with laptop sleeve and ergonomic straps,Accessories,159
6,Logitech MX Master 3,Ergonomic wireless mouse with precision scroll,Accessories,99
7,Apple iPad Air 6,High-resolution tablet with M2 chip for work & entertainment,Electronics,699
8,Razer BlackWidow V3,Mechanical RGB keyboard optimized for gaming,Electronics,179
9,Nike Air Zoom Pegasus 40,Breathable and lightweight running shoes for all terrains,Sportswear,129
10,Samsung QN90B Neo QLED,4K Ultra HD smart TV with HDR and voice control,Electronics,1799
11,Garmin Fenix 7,Solar-powered multisport GPS smartwatch,Wearables,599
12,Sony PlayStation 5,Next-gen gaming console with ultra-fast SSD,Gaming,499
13,Bose SoundLink Revolve,360-degree portable Bluetooth speaker,Audio,199
14,Adidas Ultraboost 23,High-performance running shoes,Sportswear,180
15,Cuisinart DCC-3200,12-cup programmable coffee maker,Home Appliances,99
16,HP Spectre x360,Convertible laptop with touchscreen,Electronics,1399
17,Apple Watch Series 9,Smartwatch with health & fitness tracking,Wearables,399
18,JBL Flip 6,Portable waterproof Bluetooth speaker,Audio,129
19,Canon EOS R6,Full-frame mirrorless camera with 4K video,Electronics,2499
20,Under Armour Tech Backpack,Lightweight backpack for daily commute,Accessories,89
21,Samsung Galaxy Tab S9,High-end tablet for work & entertainment,Electronics,849
22,SteelSeries Arctis 7P,Wireless gaming headset with surround sound,Gaming,149
23,Nike Air Max 270,Stylish lifestyle sneakers,Sportswear,150
24,Instant Pot Duo 7-in-1,Electric pressure cooker & slow cooker,Home Appliances,119
25,Microsoft Surface Laptop 6,Ultra-lightweight laptop with PixelSense display,Electronics,1299
26,Fitbit Versa 4,Versatile smartwatch with fitness & sleep tracking,Wearables,229
27,Sony SRS-XB33,Extra bass portable Bluetooth speaker,Audio,149
28,Logitech G502 Hero,High-precision wired gaming mouse,Gaming,79
29,Adidas Predator Edge,High-performance soccer cleats,Sportswear,220
30,Breville BES870XL,Barista espresso machine for home,Home Appliances,699
31,LG OLED C2,4K OLED smart TV with AI picture optimization,Electronics,1799
32,Razer DeathAdder V2,Ergonomic wired gaming mouse,Gaming,69
33,Garmin Vivosmart 5,Advanced activity tracker,Wearables,129
34,Sony WH-XB910N,Noise-cancelling headphones with extra bass,Audio,249
35,Patagonia Black Hole Duffel,Durable travel duffel bag,Accessories,199
36,Apple MacBook Air M2,Ultra-light laptop with M2 chip,Electronics,1199
37,JBL Charge 5,Waterproof portable Bluetooth speaker,Audio,179
38,Nike React Infinity Run,Comfortable running shoes,Sportswear,160
39,KitchenAid Artisan Mixer,Stand mixer for baking enthusiasts,Home Appliances,399
40,Microsoft Xbox Series X,Next-gen gaming console,Gaming,499
41,Fitbit Inspire 3,Slim fitness tracker with heart rate monitoring,Wearables,99
42,Sony HT-G700,3.1ch Dolby Atmos soundbar,Audio,599
43,Columbia Trail Elite Backpack,Lightweight hiking backpack,Accessories,129
44,Dell Alienware Aurora R15,High-performance gaming desktop,Gaming,2499
45,Adidas Stan Smith,Classic casual sneakers,Sportswear,120
46,Samsung Bespoke Refrigerator,Customizable smart fridge,Home Appliances,2199
47,Apple AirPods Pro 2,Noise-cancelling true wireless earbuds,Audio,249
48,Logitech K780,Multi-device wireless keyboard,Accessories,79
49,Garmin Forerunner 965,Advanced GPS running smartwatch,Wearables,499
50,Breville Smart Oven Pizzaiolo,High-end countertop pizza oven,Home Appliances,799
51,HP Omen 17,High-end gaming laptop with RTX 4080,Gaming,2399
52,Nike ZoomX Vaporfly,Elite marathon running shoes,Sportswear,250
53,Samsung Galaxy Buds 2 Pro,Premium wireless earbuds,Audio,229
54,Patagonia Arbor Day Pack,Everyday urban backpack,Accessories,99
55,LG InstaView Door-in-Door,Smart fridge with glass panel,Home Appliances,1999
